"txt_cleaned","incivility","DIC","doc"
"藍屍 黨鐵 黑警 林鄭必須清算",2,1,"藍屍 黨鐵 黑警 林鄭 必須 清算"
"見撚到左膠就嬲",3,1,"見 撚 到 左膠 就 嬲"
"今時今日係好仔唔好娶黑衣自由西，好女唔好嫁黑衣暴徒以後會拆妳屋企分妳身價。",3,1,"今時今日 係 好仔 唔好 娶 黑衣 自由 西 好 女 唔好 嫁 黑衣 暴徒 以後 會 拆 妳 屋企 分 妳 身價"
"香港廿萬左右接種有8宗面癱你又唔提？對於香港人嚟講，那個更有參考價值？",0,0,"香港 廿萬 左右 接種 有 宗 面癱 你 又 唔提 對於 香港人 嚟講 那個 更有 參考價值"
"地獄鐵路佢哋令封站令魔警入港鐵站成常態， 我哋都要令fare evasion成常態",2,1,"地獄 鐵路 佢哋 令封 站 令 魔警 入 港鐵站 成 常態 我哋 都要 令 成 常態"
"我諗聽日又有曱甴 yb 吸住天使塵四出破壞香港。: [/quote]",2,1,"我諗 聽日 又有 曱甴 吸住 天使 塵 四出 破壞 香港"
"增肥出事:",0,0,"增肥 出事"
"共慘黨最驚就係有人坐擁兵權, 你條新界佬就高調爭上位, 仲要唔認行政級上司, 你大撚獲啦",1,1,"共慘黨 最驚 就係 有人 坐擁 兵權 你條 新界佬 就 高調 爭 上位 仲要 唔認 行政級 上司 你 大 撚 獲 啦"
"張超熊，他充滿愛心<U+2764>。",2,1,"張超熊 他 充滿 愛心"
"緝毒組應第一步就捉晒毒果班毒記, 肯定佢地有濫藥及啦丸.",2,1,"緝毒 組應 第一步 就 捉晒 毒果 班 毒記 肯定 佢地 有 濫藥 及 啦 丸"
"呀何社工嘅錯關佢張超雄咩撚事呀咁鐘意打你去搵返個何社工囉低能",1,1,"呀 何 社工嘅 錯關 佢 張超雄 咩 撚 事 呀 咁鐘意 打 你 去 搵返 個何 社工 囉 低能"
"人民日報 賤格spin爆眼女first aid 派錢https://m.facebook.com/story.php?story_fbid=2372397749668563&amp;id=1418921401682874&amp;sfnsn=mo齊齊report",0,1,"人民日報 賤格 爆眼 女 派錢 齊齊"
"邊到有黎明行動啊 講緊琴晚開花喎&lsquo;一早講明唔好打夜戰送頭&rsquo;你咪落場同旺角手足講我一開頭都咁覺得 但去去下就覺得冇乜嘢 佢地玩到好熟",0,0,"邊到 有 黎明 行動啊 講緊 琴晚 開花 喎 一早 講明 唔好打 夜戰 送頭 你 咪 落場 同 旺角 手足 講我 一開頭 都 咁 覺得 但 去去 下 就 覺得 冇 乜嘢 佢地 玩到 好熟"
"腦燒最撚自大狂係話，周馳最純拜三個人，其中一個係",3,1,"腦燒 最 撚 自大狂 係話 周馳 最純 拜 三 個人 其中 一個 係"
"咁你班仆街夠有事唔好報警，俾人打就嘈嘈閉，你去俾美國佬",1,1,"咁 你班 仆街 夠有 事 唔好 報警 俾人打 就 嘈嘈閉 你 去 俾 美國佬"
"睇黎林鄭已病入膏肓, 派個廢柴出黎講野",0,1,"睇黎 林鄭 已 病入膏肓 派個 廢柴 出黎 講野"
"佢見盧sir都未見",0,0,"佢 見 盧 都 未見"
"學生哥好純情，<U+35CE>佢哋以為你真係話去飲，人情都做埋，點知你哋搞壇咁嘅嘢:lol",0,0,"學生哥 好 純情 佢哋 以為 你 真係 話 去 飲 人情 都 做埋 點知 你哋 搞壇 咁嘅嘢"
"你都on9",1,1,"你 都"
"美帝最怕見到://hk.crntt.com/doc/1037/1/6/8/103716809.html?coluid=70&kindid=1850&docid=103716809&mdate=0419093716",0,0,"美帝 最怕 見到"
"校長與學生自己引入暴徒～:",0,1,"校長 與 學生 自己 引入 暴徒"
"笑到我口水都噴埋出嚟",0,0,"笑到 我 口水 都 噴埋 出嚟"
"黑警睇中佢地講野冇人信 又社會0地位 揀佢地當沙包黎打",2,1,"黑警 睇中 佢地 講野 冇人信 又 社會 地位 揀 佢地 當 沙包 黎打"
"應該送黃色牛仔保溫袋，咁就大把黃人去捐。牛仔布，一般係藍色，黃人唔去的。",0,1,"應該 送 黃色 牛仔 保溫 袋 咁就 大把 黃人 去 捐 牛仔布 一般 係 藍色 黃人 唔去 的"
"dllm. 泛民支持曱甴暴徒咪一樣為左選票;p",2,1,"泛民 支持 曱甴 暴徒 咪 一樣 為左 選票"
"傳: 倭人以前對東亞展開侵略,好似同擔心遭天滅有多少關係??:",0,1,"傳 倭人 以前 對 東亞 展開 侵略 好似 同 擔心 遭天滅 有 多少 關係"
"死能左都冇人知…",1,1,"死能左 都冇 人知"
"上次燒山都話蔡英文贏硬......最後點",2,1,"上次 燒山 都話 蔡英文 贏硬 最後 點"
"我們來香港時，你的祖國仍在蘇聯的肚中，未世！",0,0,"我們 來 香港 時 你 的 祖國 仍在 蘇聯 的 肚中 未世"
"簡直謠言或眾...根本聖經都係老作",0,0,"簡直 謠言 或眾 根本 聖經 都係 老作"
"你唔好咁定, 終院班人渣豬狗不如有幾多次唔害人先安樂",0,1,"你 唔好咁 定 終院 班 人渣 豬狗不如 有 幾多 次 唔害人 先 安樂"
"遍地開花，大家以為好似好多警察，其實來來去去落地都係同一班每間差館入面嘅普通警察，訓練會冇咁好，只係識係入面射彈出黎，唔會主動出黎，除非肯定夠做夠打另外，每個總區都有一隊專門受過訓練嘅部隊，成個總區有一大班手足出現的話，會係由呢啲受訓部隊去處理，每次都大大隊人，就係平時見到個啲, 但佢地守得一個地方就守唔到第二度，如果係咁打同一個總區嘅幾個位置時，而呢個總區得一隊受訓部隊時，佢地只可以分優先次序，或者叫eu幫住手先佢地將香港分成五個陸總區+一個海總區，每個總區都有自已嘅受訓隊伍，如果你一早吹雞係遍地開花，咁好可能一早就分配守番自已總區，如果你吹雞搞港島，好可能就借4個受訓隊伍守港島，其他2個就守次要位置如果各自分配既位置有事發生，隔離區要借都未必咁快行得開，所以突襲某一個總區，個個總區會仆街另外，10/1咁射法，啲彈係會短缺，每間差館都只係得有限數，10/1根本冇差館得閒補彈，尤其是個日開過槍個啲差館，唔會有太多儲備，如果受訓部隊又行開左幫唔到手，基本上真係空城計最後，咁多位前線唔洗擔心民意會逆轉，真香港人仲邊會care 紅資，麻將館，機鋪呢啲咁嘅濕鳩鋪頭，出街買野都無心情啦，唔通仲會因為裝修呢啲鋪頭而覺得你地做得唔啱咩，你地需要嘅只係俾時間文宣組做野",1,1,"遍地開花 大家 以為 好似 好多 警察 其實 來來去去 落地 都係 同 一班 每間 差館 入面 嘅 普通 警察 訓練 會 冇咁好 只係 識 係 入面 射 彈出黎 唔會 主動 出黎 除非 肯定 夠做 夠打 另外 每個 總區 都有 一隊 專門 受過 訓練 嘅 部隊 成個 總區 有 一大班 手足 出現 的話 會 係 由呢啲 受訓 部隊 去 處理 每次 都 大 大隊 人 就係 平時 見到 個啲 但佢地 守得 一個 地方 就 守 唔到 第二 度 如果 係咁打 同一個 總區 嘅 幾個 位置 時 而 呢個 總區 得 一隊 受訓 部隊 時 佢地 只可 以分 優先 次序 或者 叫 幫住 手先 佢地 將 香港 分成 五個 陸 總區 一個 海 總區 每個 總區 都有 自已 嘅 受訓 隊伍 如果 你 一早 吹雞 係 遍地開花 咁好 可能 一早 就 分配 守番 自已 總區 如果 你 吹雞 搞 港島 好可能 就 借 個 受訓 隊伍 守 港島 其他 個 就 守 次要 位置 如果 各自 分配 既 位置 有事 發生 隔離區 要 借 都 未必 咁快 行得 開 所以 突襲 某 一個 總區 個個 總區 會 仆街 另外 咁 射法 啲 彈 係會 短缺 每間 差館 都 只係 得 有限 數 根本 冇 差館 得閒 補彈 尤其是 個日 開過 槍 個啲 差館 唔會 有 太多 儲備 如果 受訓 部隊 又行 開左 幫唔到手 基本上 真係 空城計 最後 咁多位 前線 唔洗 擔心 民意 會 逆轉 真香 港人 仲邊 會 紅資 麻將 館 機鋪 呢啲 咁嘅 濕鳩 鋪頭 出街 買野 都 無 心情 啦 唔通 仲會 因為 裝修 呢啲 鋪頭 而 覺得 你地 做得 唔啱 咩 你地 需要嘅 只係 俾 時間 文宣 組 做野"
"留名睇又入埋佔中&黃絲條數",0,0,"留名 睇 又 入埋 佔中 黃絲 條數"
"或許是七百萬人的心聲:",0,0,"或許 是 七百萬人 的 心聲"
"聽到咁多反佔中人士既論點我都決定都由支持佔中轉反佔中！同時呼籲佔中人士轉移超合作運動！全力支持政府所有施政！有現今政府才有現在的民主！支持梁振英施政！禁止傳媒揭露特首財政狀況！支持警察武力清場！支持廢除法例第427章，以後容許警察可用私刑對付犯罪份子！包括細至過馬路衝紅燈影響交通安全！無論啊公啊婆大人細路！犯法就係犯法！毋須審判，直接拉入暗角打左先！支持警察直接開槍射殺佔中示威人士及犯罪者！對所有犯罪者毋須留情！支持禁止7.1遊行，以免影響交通改路及影響商戶！支持三選一特首！支持23條立法！支持東北發展！支持水貨客促進自由貿易！支持放緩興建公屋！支持樓價高企！等基層無法容易上樓區分人種！支持雙非來港生子！提高未來香港競爭力！支持雙非來港求學！提高未來香港學生水平！支持修改對中國人歧視條例，不可稱呼內地同胞為大陸人、蝗蟲！否則視作犯罪！支持國民教育！抹走64真相，等下一代專心愛國！支持捜捕所有提及64事件人士將其軟禁以換取國家安全！支持禁外國勢力媒體滲入本國！如禁youtube,google,支持只使用百度！支持禁止使用外國產品！包括ios及android系統智能手機！包括小米紅米！否則當勾結國外勢力！支持封殺及調查並拘捕反暴力及不支持警察行刑藝人！例如周潤發、梁朝偉，劉德華等！以煽動及顛覆國家罪名起訴他們！諗到再更新！",2,1,"聽到 咁多 反 佔中 人士 既 論點 我 都 決定 都 由 支持 佔 中轉 反 佔中 同時 呼籲 佔中 人士 轉移 超 合作 運動 全力 支持 政府 所有 施政 有 現今 政府 才有 現在 的 民主 支持 梁振英 施政 禁止 傳媒 揭露 特首 財政 狀況 支持 警察 武力 清場 支持 廢除 法例 第 章 以後 容許 警察 可用 私刑 對付 犯罪份子 包括 細至 過馬路 衝紅燈 影響 交通安全 無論 啊 公啊婆 大人 細路 犯法 就係 犯法 毋須 審判 直接 拉入 暗角 打左 先 支持 警察 直接 開槍 射殺 佔中 示威 人士 及 犯罪者 對 所有 犯罪者 毋須 留情 支持 禁止 遊行 以免 影響 交通 改路 及 影響 商戶 支持 三選 一 特首 支持 條 立法 支持 東北 發展 支持 水貨客 促進 自由 貿易 支持 放緩 興建 公屋 支持 樓價 高企 等 基層 無法 容易 上樓 區分 人種 支持 雙非 來港 生子 提高 未來 香港 競爭力 支持 雙非 來港 求學 提高 未來 香港 學生 水平 支持 修改 對 中國人 歧視 條例 不可 稱呼 內地 同胞 為大 陸人 蝗蟲 否則 視作 犯罪 支持 國民教育 抹 走 真相 等下 一代 專心 愛國 支持 捜 捕 所有 提及 事件 人士 將其 軟禁 以 換取 國家 安全 支持 禁 外國勢力 媒體 滲入 本國 如 禁 支持 只 使用 百度 支持 禁止 使用 外國 產品 包括 及 系統 智能 手機 包括 小米 紅米 否則 當 勾結 國外 勢力 支持 封殺 及 調查 並 拘捕 反 暴力 及 不支持 警察 行刑 藝人 例如 周潤發 梁朝偉 劉德華 等 以 煽動 及 顛覆 國家 罪名 起訴 他們 諗到 再 更新"
"我貼既時候好怕人誤會我",0,0,"我貼 既 時候 好怕 人 誤會 我"
"死曱甴還我美麗的香港:",2,1,"死 曱甴 還我 美麗 的 香港"
"有犯民守住立法會，想趕走假難民真是妙想天開:",2,1,"有 犯民 守住 立法會 想 趕走 假難民 真是 妙想天開"
"唔同立場就抹黑大陸佬。",0,0,"唔同 立場 就 抹黑 大陸佬"
"如果一上法庭，美國民主制度就正式玩完，因為過去的選舉結果都可以係假，無人再信美國制度",0,0,"如果 一 上法庭 美國 民主制度 就 正式 玩完 因為 過去 的 選舉 結果 都 可以 係 假 無人 再信 美國 制度"
"in case 佢到左桃園機場呢?",0,0,"佢 到左 桃園機場 呢"
"香港要俾港共（7777）同支蟈硬食",0,0,"香港 要俾 港共 同 支蟈 硬食"
"隔離po變左屌左膠，唔知詳咩好",2,1,"隔離 變左 屌左 膠 唔知 詳 咩 好"
"藍左殘左 果d冇救啦。不過唔好推咁多淺藍，自以為中立果d去對家手上。",0,0,"藍 左 殘 左 果 冇 救 啦 不過 唔好推 咁多 淺藍 自以為 中立 果 去 對家 手上"
"design撚表示顏色如果深色番啲 會好好多",1,1,"撚 表示 顏色 如果 深色 番啲 會 好好多"
"收皮啦，關人乜事？一間公司的運作攞黎做新聞，我踩死的甲甴又係新聞",0,1,"收皮啦 關人 乜事 一間 公司 的 運作 攞黎 做新聞 我 踩死 的 甲甴 又係 新聞"
"又話吾與老賊不兩立，但就要比所謂老賊監誓，有骨氣就唔撈啦，",0,0,"又話 吾 與 老賊 不兩立 但就 要 比 所謂 老賊 監誓 有骨氣 就 唔撈 啦"
"想下邊個把啲客推哂去私煙你就會明白的",0,1,"想下 邊個 把 啲 客 推哂 去 私煙 你 就會 明白 的"
"向埋我道歉把l，根本唔應該道歉....",0,0,"向 埋 我 道歉 把 根本 唔應該 道歉"
"靠件咁既小學雞主席就死得啦<U+00A0>:",1,1,"靠件 咁既 小學雞 主席 就 死得啦"
"是日電台[國際線手足需要你] 中国国慶一齊賀佢老母- 分享自 lihkg 討論區",1,0,"是日 電台 國際線 手足 需要 你 中国 国慶 一齊 賀 佢老母 分享 自 討論區"
"應該真係關呢個事，個實驗係將病毒打落白老鼠到同俾帶病毒白老鼠傳染嘅比較嚴重好多，代表病毒量愈少病情愈輕啲鬼佬老實講衛生真係好撚差我諗大部分亞洲人中嘅都係因為氣熔膠傳播，病毒量比較少，而鬼佬中嘅應該係隻手周圍掂，掂完又就咁食落口/揩落眼耳口鼻到又唔撚會洗手",1,1,"應該 真係 關 呢個 事 個 實驗 係 將 病毒 打落 白老鼠 到 同 俾 帶 病毒 白老鼠 傳染 嘅 比較 嚴重 好多 代表 病毒量 愈少 病情 愈輕 啲 鬼佬 老實講 衛生 真係 好撚 差 我諗 大部分 亞洲 人中 嘅 都係 因為 氣 熔膠 傳播 病毒量 比 較少 而 鬼佬 中 嘅 應該係 隻手 周圍 掂 掂 完 又 就咁 食 落口 揩 落 眼耳口鼻 到 又 唔撚 會 洗手"
"或者咁講可能黑人已經滲透做黃人幫手破壞及掟汽油彈咁就唔係黃黑勾結:",0,1,"或者 咁講 可能 黑人 已經 滲透 做 黃人 幫手 破壞 及 掟 汽油彈 咁就 唔係 黃 黑 勾結"
"你咁早呀:$",0,0,"你 咁早 呀"
"唔好開樣啦吊",1,0,"唔好 開樣 啦 吊"
"只追打一個,點解呢",0,0,"只 追打 一個 點解 呢"
"算把啦地獄鬼國去嚟托咩",0,0,"算把啦 地獄 鬼國 去 嚟 托 咩"
"看她與網友的對話, 我可以大膽講句 :",0,0,"看 她 與 網友 的 對話 我 可以 大膽 講句"
"其實由佢地思想去解析反比佢聽係work利申: 兩老由鬧反佔中 變到依家電視見到林鄭就鬧",0,0,"其實 由佢 地 思想 去 解析 反 比佢 聽 係 利申 兩老 由鬧 反 佔中 變到 依家 電視 見到 林鄭 就 鬧"
"呵呵笑左 ://n2.hk/d/images/r10/mobile.jpg",0,0,"呵呵 笑左"
"基本法唔容許支國敢做（好似係",0,0,"基本法 唔 容許 支國 敢做 好似係"
"新香港人 大陸大把資產",0,0,"新香港人 大陸 大把 資產"
"問題係班暴民搞到好似係香港納稅人爭佢錢咁:@ 要搵就自行搵銀行!!!唔係響到同廣大市撒野:@ !!!",0,1,"問題 係 班 暴民 搞到 好似係 香港 納稅人 爭 佢 錢 咁 要搵 就 自行 搵銀 行 唔係 響到 同 廣大 市 撒野"
"荔枝英私家雞妓協做咩唔出來啼兩聲:",2,1,"荔枝 英 私家雞 妓協 做咩 唔出來 啼 兩聲"
"痴線，一次過開5x下！",0,0,"痴線 一次過 開 下"
"五毛黎唔信你自己睇佢紀錄",2,1,"五毛 黎 唔信你 自己 睇佢 紀錄"
"推,又有三毛想帶風向",2,1,"推 又有 三毛 想帶 風向"
"兩個都得bo........ :",0,0,"兩個 都得"
"講大民調一早都被哩班垃圾搞到無晒誠信啦！:",0,0,"講大 民調 一早 都被 哩班 垃圾 搞到 無晒 誠信 啦"
"咪理左膠永不割蓆",2,1,"咪理 左膠 永不 割蓆"
"嘩！危險了",0,0,"嘩 危險 了"
"呢個係人之常情，警察從來只係執法，示威者明知敵人係政府但仍將仇恨遷怒於警察，暴徒應該反省自己嘅所作所為係幾咁愚蠢",0,1,"呢個 係 人之常情 警察 從來 只係 執法 示威者 明知 敵人 係 政府 但 仍將 仇恨 遷怒 於 警察 暴徒 應該 反省 自己 嘅 所作所為 係 幾咁 愚蠢"
"可能我比佢弱智 係佢點寫我 跳梁小丑古字我柒咗呢樣",1,1,"可能 我 比佢 弱智 係 佢 點 寫 我 跳梁小丑 古字 我 柒咗 呢樣"
"防不勝防!",0,0,"防不勝防"
"可能佢哋覺得自己先係大佬，呢班所謂嘅年青人渣。",0,1,"可能 佢哋 覺得 自己 先係 大佬 呢班 所謂 嘅 年青 人渣"
"反中之後再運走是一樣嗎？",0,0,"反中 之後 再 運走 是 一樣 嗎"
"你想做乜職位:lol",0,0,"你 想 做乜 職位"
"大陸最好乜都吾好買，今次有平野買了",0,0,"大陸 最好 乜都 吾好 買 今次 有 平野 買了"
"我當然知， 我就係解釋俾個小朋友聽點解要set做十九支， 因為唔買多一包新嘅就一定冇問題。",0,0,"我 當然 知 我 就係 解釋 俾個 小朋友 聽 點解 要 做 十九 支 因為 唔買 多一 包新 嘅 就 一定 冇問題"
"得罪講句仲同狗拍拖個d同幫兇無乜分別",2,0,"得罪 講句 仲同 狗 拍拖 個 同 幫兇 無乜 分別"
"強力部門洗頭艇小組越洋追補，被卜街死;p:",1,1,"強力部門 洗頭艇 小組 越洋 追補 被 卜街死"
"實體店也下架了大班死去吧",0,0,"實體店 也 下架 了 大班 死去 吧"
"未有武肺之前個個都用清水清架啦商場啲洗手液仲污糟過唔用",0,0,"未有 武肺 之前 個個 都用 清 水清 架 啦 商場 啲 洗手液 仲 污糟 過 唔用"
"黑暴+疫情->經濟重挫,呢條數應該攬炒派負責",2,1,"黑暴 疫情 經濟 重挫 呢 條數 應該 攬炒 派 負責"
"是的， 學術自由嘛，我支持了！<U+00A0><U+00A0>不能打壓學術自由的！",0,0,"是的 學術 自由 嘛 我 支持了 不能 打壓 學術 自由 的"
"記協、如何再有公信力",0,0,"記協 如何 再有 公信力"
"黑警死全家",2,1,"黑警 死全家"
"仆街扯旗",1,1,"仆街 扯旗"
"出賣香港！",0,0,"出賣 香港"
"大商場可能佢地驚整爛野?會有手尾跟今日過左金鐘道之後唔敢殺入去太古廣場當然佢地可能order只要清左路面既人算唔搞咁多",0,0,"大商場 可能 佢地 驚 整爛 野 會有 手尾 跟 今日 過左 金鐘道 之後 唔敢 殺入 去 太古廣場 當然 佢地 可能 只要 清左 路面 既 人算 唔搞 咁多"
"完全睇唔出資料有咩特別意義",0,0,"完全 睇唔出 資料 有咩 特別 意義"
"請問爸打們想了解美國史有咩書推介？",0,0,"請問 爸 打們 想 了解 美國史 有咩 書 推介"
"侵犯版權 執法既垃圾公然犯法 法治喎",0,0,"侵犯 版權 執法 既 垃圾 公然 犯法 法治 喎"
"民主先進發達嘅歐盟打擊仇恨言論？如果發生喺香港，果班犯民笨土唔知會點回應呢？說好的言論自由呢？",2,1,"民主 先進 發達 嘅 歐盟 打擊 仇恨 言論 如果 發生 喺 香港 果班 犯民 笨土 唔知 會點 回應 呢 說好的 言論自由 呢"
"推，請手足做順便知埋啲大陸喱嘅諗法，情報",2,1,"推 請 手足 做 順便 知埋 啲 大陸喱 嘅 諗法 情報"
"唔係警犬唔歡迎，係香港人唔鍾意黑警",2,1,"唔係 警犬 唔歡迎 係 香港人 唔鍾意 黑警"
"唔好講咁多，呢個時候要振奮事氣攪一個撐政府支持修例大遊行，相信香討成員一定會支持出席，就俾反對派用眼睛睇睇我哋遊行人數，咪成日俾佢哋話我哋作假，我哋真係有90萬人聯署簽名支持。??????",0,0,"唔好 講咁多 呢個 時候 要 振奮 事氣 攪 一個 撐 政府支持 修例 大遊行 相信 香討 成員 一定 會 支持 出席 就俾 反對派 用 眼睛 睇睇 我哋 遊行人數 咪 成日 俾 佢哋 話 我哋 作假 我哋 真係 有 萬人 聯署 簽名 支持"
"屌你地 搞到我好想重睇爆旋!",1,1,"屌你 地 搞到 我 好想 重睇 爆旋"
"你屋企啲傢俬係木製品嗎？如果想清理晒啲木蝨，最好換晒皮或布梳化。",0,0,"你 屋企 啲 傢俬 係 木 製品 嗎 如果 想 清理 晒 啲 木蝨 最好 換晒 皮 或布 梳化"
">><<1，驚自己冇得撈，但係又支持攬炒要人地冇得撈，正人渣！",0,1,"驚 自己 冇得 撈 但係 又 支持 攬炒 要人 地 冇得 撈 正 人渣"
"屌琴晚睇完眼濕濕",1,1,"屌 琴晚 睇完 眼濕濕"
"嗰堆垃圾講就勁.....",0,0,"嗰 堆 垃圾 講就勁"
"強國人又想喺泳池疴屎！",2,1,"強國人 又 想喺 泳池 疴 屎"
"割你老母臭閪 鼠王芬",3,1,"割 你 老母 臭閪 鼠王芬"
"做大事難免有所犧牲",0,0,"做 大事 難免有 所 犧牲"
"寶琳個邊多啲",0,0,"寶琳 個邊 多啲"
"佢應該夜晚唔好出街申請宵禁令引起公眾不安及恐慌",0,0,"佢 應該 夜晚 唔好 出街 申請 宵禁令 引起 公眾 不安 及 恐慌"
"仲有黑警同解放軍哦",2,1,"仲有 黑警 同 解放軍 哦"
"痴線，公然打人",0,0,"痴線 公然 打人"
"有啲飛雞好撚臭串的:",3,1,"有啲 飛雞 好撚 臭串 的"
"黃屍狗娘，明明呆灣玩野，咁都可以賴香港。原來黃屍真係連自己至親都唔放過，個女死左都要利用黎反政府。",2,1,"黃屍 狗娘 明明 呆灣 玩野 咁都可以 賴 香港 原來 黃屍 真係 連 自己 至親 都 唔放過 個 女 死左 都要 利 用黎 反政府"
"德國以至歐洲大陸都驚大陸既文化及獨裁之風會掀起,危害歐洲的自由民主文明。此舉等於歐盟禁止成員國出售納粹物品,你可以說這條法例侵害人權,但確實可以抑止獨裁之風。我認為德國此舉正確。中國大陸需要繼續努力",0,0,"德國 以至 歐洲 大陸 都 驚 大陸 既 文化 及 獨裁 之 風會 掀起 危害 歐洲 的 自由民主 文明 此舉 等於 歐盟 禁止 成員國 出售 納粹 物品 你 可以 說 這條 法例 侵害 人權 但 確實 可以 抑止 獨裁 之風 我 認為 德國 此舉 正確 中國大陸 需要 繼續 努力"
"本土同泛民唔同政見點解要同你初選？你泛民狗驚輸到甩褲？",2,1,"本土 同 泛民 唔同 政見 點解 要同 你 初選 你 泛民狗 驚 輸到 甩褲"
"5毛去晒邊",2,1,"毛 去晒 邊"
"我叫你做食屎狗",1,1,"我 叫你 做 食屎狗"
"呢班廢青就係當打機以為有得升呢以為可以加生命值再黎過又以為 reset 就乜都得比人煽動 9 衝, 比差人打又流馬尿資源邊度黎 ?freemason 團購有折扣呀工業用頭盔眼罩要大批買, 一定有得追查木卡板一車車咁送入去,貨車有車牌, 一定查到邊個買 尖峰突出的鐵釘木板盾牌超過兩焦耳的殺傷力改裝槍械不過最恐怖還是那些自以為穿上民主光環充可以無法無天的妖獸連做男人都已經太醜的男扮女裝易服癖",3,1,"呢班 廢青 就係 當 打機 以為 有得 升 呢 以為 可以 加 生命 值 再黎 過又 以為 就 乜都得 比人 煽動 衝 比 差人 打 又 流馬尿 資源 邊度 黎 團購 有 折扣 呀 工業 用 頭盔 眼罩 要 大批 買 一定 有得 追查 木卡板 一車車 咁 送入 去 貨車 有 車牌 一定 查到 邊個 買 尖峰 突出 的 鐵釘 木板 盾牌 超過 兩 焦耳 的 殺傷力 改裝 槍械 不過 最 恐怖 還是 那些 自以為 穿上 民主 光環 充 可以 無法無天 的 妖獸 連做 男人 都 已經 太醜 的 男扮女裝 易服癖"
"捉痴瘋，羅37,油雞，呃人，毛婆，青面雞等遊街及當眾槍斃的時間快來臨",2,1,"捉 痴瘋 羅 油雞 呃人 毛婆 青面 雞 等 遊街 及 當眾 槍斃 的 時間 快 來臨"
"藍屍先打經濟牌，on9",3,1,"藍屍 先打 經濟 牌"
"顧掂自己先喇！:",0,0,"顧掂自己 先喇"
"仲有人會比佢地老點﹖",0,0,"仲有 人 會比 佢地 老點"
"民建聯食屎啦！民建聯連阿牛個名都唔敢講出黎民建聯班畜生只識抽水，正仆街無人性和漢奸五毛一樣賤格",3,1,"民建聯 食屎啦 民建聯 連阿牛 個名 都 唔敢 講出黎 民建聯 班 畜生 只識 抽水 正 仆街 無 人性 和 漢奸 五毛 一樣 賤格"
"用國際標準:",0,0,"用 國際 標準"
"我相佢唔係藍不過呢個時候仲話自己中立, 無立場抵制係完全無錯！但唔好去裝修佢, 佢真係唔係藍, 只係一隻仲未醒嘅港豬",2,1,"我相 佢 唔係 藍 不過 呢個 時候 仲話 自己 中立 無立場 抵制 係 完全 無錯 但 唔好去 裝修 佢 佢真 係唔係 藍 只係 一隻 仲未 醒 嘅 港豬"
"大家人就是要管 但管還管咪撚搞我哋",1,1,"大家 人 就 是要 管 但管 還管 咪 撚 搞 我哋"
"哈哈哈所以話你朋友係有辦法之人，會計佬好識算呢d，佢執到件筍野，好洗好用頭腦又夠簡單！:lol不過隻曱甴又好野，工作量咁多又要考試，仲有時間去勇武:",2,1,"哈哈哈 所以話 你 朋友 係有 辦法 之人 會計 佬 好識 算 呢 佢 執到 件 筍野 好洗 好用 頭腦 又夠 簡單 不過 隻 曱甴 又 好野 工作量 咁多 又要 考試 仲有 時間 去 勇武"
"女人可以參選的法例已經通過左幾十年，幾十年都無一個女人企出黎參選，就係因為無時間？:",0,0,"女人 可以 參選 的 法例 已經 通過左 幾十 年 幾十 年 都 無 一個 女人 企出黎 參選 就係 因為 無時間"
"冷血兇手, 拉去打靶吧... :",0,0,"冷血 兇手 拉去 打靶 吧"
"懷疑如果真係爆第三次世界大戰，蛆蟈係自己打死自己",0,0,"懷疑 如果 真係 爆 第三次 世界大戰 蛆蟈 係 自己 打死 自己"
"打越戰時中國係有核武，但啲軍備到七九年自衛反擊戰都相對落後。但老美常規戰都輸！現時老解啲軍傋己經係不可同日而語，我唔覺得老美好有信心再戰老解。古巴危機係蘇聯要在古巴設置導彈基地，而古巴因為同miami 遙海相望而引起一場大風波。美國同樣作出永不向古巴動武嘅讓步而得到解決。",0,1,"打越 戰時 中國 係有 核武 但 啲 軍備 到 七九 年 自衛 反擊戰 都 相對 落後 但 老美 常規戰 都輸 現時 老解 啲 軍 傋 己經 係 不可同日而語 我 唔覺得 老美 好有信心 再戰 老解 古巴 危機 係 蘇聯 要在 古巴 設置 導彈 基地 而 古巴 因為 同 遙海 相望 而 引起 一場 大 風波 美國 同樣 作出 永不 向 古巴 動武 嘅 讓步 而得 到 解決"
"33台黃昏時播的“詩詞大會”，看到中國人對詩詞的掌握，顯示他們對中華文明的熱愛。心中有底！",0,0,"台 黃昏 時播的 詩詞 大會 看到 中國人 對 詩詞 的 掌握 顯示 他們 對 中華 文明 的 熱愛 心中 有底"
"36萬人屌你老母中國冇書讀咩？仲乜要去美國讀",1,1,"萬 人屌你 老母 中國 冇 書讀 咩 仲 乜 要去 美國 讀"
"屌你老母, 五大訴求有撚要錢一皮係你抗疫垃圾先要回水",1,1,"屌你老母 五大訴求 有 撚 要錢 一皮 係 你 抗疫 垃圾 先要 回水"
"有三萬黨衛軍支持驚閪咩",1,1,"有 三萬 黨衛軍 支持 驚閪咩"
"黃人又想謀殺成車市民??",0,1,"黃人 又 想 謀殺 成車 市民"
